"project","class","avg_ccn","sum_string_args","sum_number_args"
"CLI","org.apache.commons.cli.AlreadySelectedException",1,1,0
"CLI","org.apache.commons.cli.AmbiguousOptionException",2,2,0
"CLI","org.apache.commons.cli.BasicParser",1,0,0
"CLI","org.apache.commons.cli.bug.BugCLI266Test",1,0,0
"CLI","org.apache.commons.cli.CommandLine",2.13333333333333,11,0
"CLI","org.apache.commons.cli.CommandLine$Builder",1,1,0
"CLI","org.apache.commons.cli.CommandLineParser",1,0,0
"CLI","org.apache.commons.cli.DefaultParser",4.47619047619048,14,0
"CLI","org.apache.commons.cli.GnuParser",11,0,0
"CLI","org.apache.commons.cli.HelpFormatter",3.03225806451613,34,29
"CLI","org.apache.commons.cli.HelpFormatter$OptionComparator",1,0,0
"CLI","org.apache.commons.cli.HelpFormatterTest$Anonymous1",1,0,0
"CLI","org.apache.commons.cli.MissingArgumentException",1,1,0
"CLI","org.apache.commons.cli.MissingOptionException",2,1,0
"CLI","org.apache.commons.cli.Option",1.61904761904762,16,2
"CLI","org.apache.commons.cli.Option$Builder",1.1,4,1
"CLI","org.apache.commons.cli.OptionBuilder",1.07692307692308,4,2
"CLI","org.apache.commons.cli.OptionGroup",2,0,0
"CLI","org.apache.commons.cli.Options",1.75,15,0
"CLI","org.apache.commons.cli.OptionTest",1,4,1
"CLI","org.apache.commons.cli.OptionTest$DefaultOption",1,3,0
"CLI","org.apache.commons.cli.OptionTest$TestOption",1,3,0
"CLI","org.apache.commons.cli.OptionValidator",3.33333333333333,1,0
"CLI","org.apache.commons.cli.ParseException",1,1,0
"CLI","org.apache.commons.cli.Parser",4.7,1,0
"CLI","org.apache.commons.cli.ParserTestCase",3,0,0
"CLI","org.apache.commons.cli.PatternOptionBuilder",9,1,0
"CLI","org.apache.commons.cli.PosixParser",6.2,3,0
"CLI","org.apache.commons.cli.TypeHandler",2.66666666666667,9,0
"CLI","org.apache.commons.cli.UnrecognizedOptionException",1,3,0
"CLI","org.apache.commons.cli.Util",4.5,2,0
"Geometry","org.apache.commons.geometry.core.Embedding",1,0,0
"Geometry","org.apache.commons.geometry.core.GeometryTestUtils",2,3,2
"Geometry","org.apache.commons.geometry.core.internal.DoubleFunction1N",1,0,1
"Geometry","org.apache.commons.geometry.core.internal.DoubleFunction2N",1,0,2
"Geometry","org.apache.commons.geometry.core.internal.DoubleFunction3N",1,0,3
"Geometry","org.apache.commons.geometry.core.internal.HyperplaneSubsets",2.5,0,0
"Geometry","org.apache.commons.geometry.core.internal.HyperplaneSubsetsTest$StubRegion1D",2,0,0
"Geometry","org.apache.commons.geometry.core.internal.IteratorTransform",1,0,0
"Geometry","org.apache.commons.geometry.core.internal.IteratorTransformTest",2,0,0
"Geometry","org.apache.commons.geometry.core.internal.IteratorTransformTest$EvenCharIterator",3,0,1
"Geometry","org.apache.commons.geometry.core.internal.SimpleTupleFormat",2.27777777777778,21,10
"Geometry","org.apache.commons.geometry.core.internal.SimpleTupleFormat$TupleParseException",1,1,0
"Geometry","org.apache.commons.geometry.core.internal.SimpleTupleFormatTest",1.5,9,6
"Geometry","org.apache.commons.geometry.core.partitioning.AbstractConvexHyperplaneBoundedRegion",4.33333333333333,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.AbstractConvexHyperplaneBoundedRegion$ConvexRegionBoundaryBuilder",3.75,0,1
"Geometry","org.apache.commons.geometry.core.partitioning.AbstractConvexHyperplaneBoundedRegionTest",2,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.AbstractConvexHyperplaneBoundedRegionTest$StubRegion",1.2,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.AbstractHyperplane",2,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.AbstractHyperplaneTest$StubHyperplane",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTree",2.67857142857143,0,1
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTree$AbstractNode",1.75,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTree$NodeIterator",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTree$SubtreeInitializer",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTreeMergeOperator",1.4,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTreeMergeOperatorTest$TestMergeOperator",2,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTreeTest",2,0,2
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTreeTest$Anonymous1",2,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTreeTest$Anonymous2",2,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTreeTest$Anonymous3",2,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTreeTest$Anonymous4",2,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTreeTest$TestVisitor",1.25,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractPartitionedRegionBuilder",3.71428571428571,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractPartitionedRegionBuilderTest",2,0,3
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractPartitionedRegionBuilderTest$TestRegionBuilder",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree",1.60714285714286,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$AbstractRegionNode",2.25,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$BoundaryProjector",2.75,0,1
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$Condenser",2.5,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$DifferenceOperator",3,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$IntersectionOperator",3,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$RegionBoundaryIterator",2.5,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$RegionMergeOperator",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$RegionSizeProperties",1,0,1
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$UnionOperator",3,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$XorOperator",3,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTreeBooleanTest",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTreeTest",2,0,0
