file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,setUp/0,parser,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,setUp/0,options,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,testOptionAndOptionWithArgument/0,parser,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,testOptionAndOptionWithArgument/0,options,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,testOption/0,parser,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,testOption/0,options,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,testOptionWithArgument/0,parser,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,testOptionWithArgument/0,options,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testRenderWrappedTextSingleLinePadded2/0,EOL,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testRenderWrappedTextMultiLine/0,EOL,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testRenderWrappedTextMultiLinePadded/0,EOL,4
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testHelpWithLongOptSeparator/0,EOL,6
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testPrintSortedUsageWithNullComparator/0,EOL,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testRenderWrappedTextSingleLinePadded/0,EOL,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testRenderWrappedTextSingleLine/0,EOL,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testRenderWrappedTextWordCut/0,EOL,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testPrintRequiredOptionGroupUsage/0,EOL,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testPrintSortedUsage/0,EOL,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testPrintOptions/0,EOL,5
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testPrintUsage/0,EOL,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testPrintOptionGroupUsage/0,EOL,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testIndentedHeaderAndFooter/0,EOL,6
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testPrintOptionWithEmptyArgNameUsage/0,EOL,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testOptionWithoutShortFormat/0,EOL,4
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testHeaderStartingWithLineSeparator/0,EOL,6
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testDefaultArgName/0,EOL,1
