file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,setUp/0,false,34,3,1,1,4,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,8,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,testOptionAndOptionWithArgument/0,false,42,3,2,6,8,0,2,0,6,0,0,0,1,0,0,11,1,2,0,0,0,0,0,19,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,testOption/0,false,74,3,2,5,7,0,2,0,5,0,0,0,1,0,0,6,1,2,0,0,0,0,0,16,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/ArgumentIsOptionTest.java,org.apache.commons.cli.ArgumentIsOptionTest,testOptionWithArgument/0,false,58,3,2,7,8,0,2,0,7,0,0,0,1,0,0,10,1,2,0,0,0,0,0,19,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest$Anonymous1,"compare/2[org.apache.commons.cli.Option,org.apache.commons.cli.Option]",false,291,1,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testRenderWrappedTextSingleLinePadded2/0,false,111,2,1,3,9,0,5,0,3,0,0,0,0,0,0,6,2,5,2,0,0,0,0,37,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testRtrim/0,false,396,2,1,2,6,0,1,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,9,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testRenderWrappedTextMultiLine/0,false,128,2,1,3,8,0,4,0,3,0,0,0,0,0,0,4,2,4,1,0,0,0,0,21,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testRenderWrappedTextMultiLinePadded/0,false,143,2,1,3,9,0,5,0,3,0,0,0,0,0,0,7,2,5,2,0,0,0,0,24,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,testHelpWithLongOptSeparator/0,false,568,5,1,14,13,0,3,0,14,0,0,0,0,0,0,19,3,3,1,0,0,0,0,24,1,0,false
