file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/DocumentationExamplesTest.java,org.apache.commons.geometry.hull.DocumentationExamplesTest,class,9,1,1,12,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,15,18,0,0,0,0,0,0,27,8,0,8,0,0,0,0,48,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,class,16,39,1,39,162,0.20652173,0.23913044,24,0,17,0,7,0,24,1,5,0,4,2,0,0,4,0,2,0,82,233,4,7,6,0,1,0,729,63,12,59,3,0,0,0,89,1025,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHull2DTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHull2DTest,class,9,7,1,21,0,1.0,1.0,7,0,7,0,0,0,7,0,0,0,2,2,0,2,0,0,2,0,21,81,0,0,0,0,0,1,29,27,0,27,1,0,0,1,42,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/AklToussaintHeuristicTest.java,org.apache.commons.geometry.hull.euclidean.twod.AklToussaintHeuristicTest,class,5,2,2,1,1,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/MonotoneChainTest.java,org.apache.commons.geometry.hull.euclidean.twod.MonotoneChainTest,class,7,2,2,3,1,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,17,1,0,0,0,0,0,17,1,0,1,0,0,0,0,22,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/main/java/org/apache/commons/geometry/hull/ConvexHullGenerator.java,org.apache.commons.geometry.hull.ConvexHullGenerator,interface,3,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/main/java/org/apache/commons/geometry/hull/euclidean/twod/AbstractConvexHullGenerator2D.java,org.apache.commons.geometry.hull.euclidean.twod.AbstractConvexHullGenerator2D,class,5,11,1,9,1,0.4,0.6,6,0,3,1,2,0,5,1,0,0,2,0,0,2,0,0,2,0,0,51,6,1,0,0,0,1,4,14,0,10,2,0,0,0,90,1024,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/main/java/org/apache/commons/geometry/hull/euclidean/twod/AklToussaintHeuristic.java,org.apache.commons.geometry.hull.euclidean.twod.AklToussaintHeuristic,class,2,27,1,12,10,NaN,NaN,5,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,72,9,4,5,0,1,0,10,19,3,13,2,0,0,0,122,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/main/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHull2D.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHull2D,class,7,9,1,16,3,0.4,0.6,6,1,4,1,0,1,5,0,0,0,2,0,0,2,0,0,2,0,5,29,6,0,0,0,0,1,2,4,0,4,1,0,0,0,84,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/main/java/org/apache/commons/geometry/hull/euclidean/twod/MonotoneChain.java,org.apache.commons.geometry.hull.euclidean.twod.MonotoneChain,class,6,21,2,18,6,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,82,6,5,2,0,0,0,18,19,10,21,4,0,0,1,119,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/main/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2D.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2D,interface,3,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/main/java/org/apache/commons/geometry/hull/ConvexHull.java,org.apache.commons.geometry.hull.ConvexHull,interface,3,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/testio/TestOBJWriter.java,org.apache.commons.geometry.euclidean.testio.TestOBJWriter,class,9,29,1,30,63,0.25,0.45833334,18,2,16,2,0,0,16,0,0,0,7,3,0,7,0,0,3,0,3,127,3,6,1,2,0,4,6,18,4,14,2,0,0,0,185,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/DocumentationExamplesTest.java,org.apache.commons.geometry.euclidean.DocumentationExamplesTest,class,49,15,1,98,0,0.62857145,0.62857145,15,0,15,0,0,0,15,0,0,0,1,1,0,1,0,0,1,0,117,194,0,0,0,0,0,2,218,90,4,87,0,0,0,0,133,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/internal/VectorsTest.java,org.apache.commons.geometry.euclidean.internal.VectorsTest,class,6,10,1,20,0,0.8,0.8,10,0,10,0,0,0,10,0,0,0,1,1,0,1,0,0,1,0,106,96,0,0,0,0,0,8,169,1,0,1,0,0,0,8,26,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/internal/MatricesTest.java,org.apache.commons.geometry.euclidean.internal.MatricesTest,class,3,6,1,6,3,0.4,0.4,6,0,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,30,59,0,0,0,0,0,7,92,1,0,1,1,0,0,7,20,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/mesh/SimpleTriangleMeshTest.java,org.apache.commons.geometry.euclidean.threed.mesh.SimpleTriangleMeshTest,class,24,22,1,94,0,0.8142857,0.8142857,21,0,21,0,0,0,21,0,0,0,2,2,0,2,0,0,2,0,138,353,0,1,0,0,0,16,378,92,10,92,1,0,0,21,116,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/SphericalCoordinatesTest.java,org.apache.commons.geometry.euclidean.threed.SphericalCoordinatesTest,class,4,30,1,35,334,0.083076924,0.083076924,29,0,26,3,0,0,26,0,0,0,5,5,0,5,0,0,5,0,168,252,0,1,0,0,2,7,411,34,26,34,1,0,0,0,82,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/shape/ParallelepipedTest.java,org.apache.commons.geometry.euclidean.threed.shape.ParallelepipedTest,class,16,16,1,39,0,1.0,1.0,12,1,11,1,0,0,11,0,0,0,3,3,0,3,0,0,3,0,137,128,1,2,2,0,2,1,284,31,23,31,2,0,0,7,77,1,0
