file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/DocumentationExamplesTest.java,org.apache.commons.geometry.hull.DocumentationExamplesTest,testMonotoneChainExample/0,TEST_EPS,4
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,testEmpty/0,generator,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,testAllIdentical/0,generator,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,testConvexHull/0,random,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,testConvexHull/0,generator,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,testCollinearPoints/0,generator,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,"isConvex/2[org.apache.commons.geometry.hull.euclidean.twod.ConvexHull2D,boolean]",TEST_EPS,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,testClosePoints/0,generator,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,setUp/0,random,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,setUp/0,generator,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java,org.apache.commons.geometry.hull.euclidean.twod.ConvexHullGenerator2DAbstractTest,testIssue1123/0,generator,1
