file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_jmhType.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType,class,1,0,5,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,class,17,42,1,24,0,0.8888889,1.0,9,4,8,0,0,1,9,0,0,0,23,0,0,0,0,23,0,0,14,275,7,11,10,3,5,16,22,103,8,301,3,0,0,0,118,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_jmhType_B1.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType_B1,class,1,0,2,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,18,0,0,0,0,0,0,0,0,0,256,0,0,0,0,25,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_testHashSet_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_testHashSet_jmhTest,class,17,42,1,24,0,0.8888889,1.0,9,4,8,0,0,1,9,0,0,0,23,0,0,0,0,23,0,0,14,275,7,11,10,3,5,16,22,103,8,301,3,0,0,0,117,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_jmhType_B2.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType_B2,class,2,0,3,1,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,12,6,12,0,0,0,6,0,6,14,0,0,0,0,0,6,0,6,0,12,0,0,0,0,17,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_jmhType_B3.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType_B3,class,1,0,4,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,18,0,0,0,0,0,0,0,0,0,256,0,0,0,0,26,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeExtractRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeExtractRemoveAll_jmhTest,class,17,42,1,24,0,0.8888889,1.0,9,4,8,0,0,1,9,0,0,0,23,0,0,0,0,23,0,0,14,275,7,11,10,3,5,16,22,103,8,301,3,0,0,0,119,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_testBitSet_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_testBitSet_jmhTest,class,17,42,1,24,0,0.8888889,1.0,9,4,8,0,0,1,9,0,0,0,23,0,0,0,0,23,0,0,14,275,7,11,10,3,5,16,22,103,8,301,3,0,0,0,117,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/src/test/java/org/apache/commons/lang3/ArraySorterTest.java,org.apache.commons.lang3.ArraySorterTest,class,10,9,1,20,36,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,20,56,0,0,0,0,0,4,14,18,0,18,0,0,0,0,18,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/src/test/java/org/apache/commons/lang3/mutable/MutableDoubleTest.java,org.apache.commons.lang3.mutable.MutableDoubleTest,class,3,26,1,37,325,0.0,0.0,26,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,14,174,0,0,0,0,0,5,126,36,0,34,0,0,0,3,47,1,0
