file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/impl/WeakHashtableTestCase.java,org.apache.commons.logging.impl.WeakHashtableTestCase$StupidThread,innerclass,1,4,2,2,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,1,0,0,2,4,1,3,1,2,0,0,0,14,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/impl/WeakHashtableTestCase.java,org.apache.commons.logging.impl.WeakHashtableTestCase,class,4,35,3,42,0,0.7583333,0.7583333,16,0,15,0,1,0,16,0,0,0,13,6,0,13,0,0,5,0,1,224,0,9,2,2,0,8,58,52,3,41,3,0,1,0,137,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/SimpleLogTestCase.java,org.apache.commons.logging.SimpleLogTestCase,class,3,1,3,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/LoadTestCase.java,org.apache.commons.logging.LoadTestCase$AppClassLoader,innerclass,1,9,2,16,3,0.0,0.0,3,0,1,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,36,4,2,2,1,0,3,4,9,2,8,2,0,0,0,63,8,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/LoadTestCase.java,org.apache.commons.logging.LoadTestCase,class,4,11,3,18,15,0.33333334,0.33333334,6,0,3,3,0,0,3,0,0,0,2,1,0,2,0,0,0,0,9,99,1,0,1,3,0,10,0,12,1,7,1,0,1,0,98,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/AbstractLogTest.java,org.apache.commons.logging.AbstractLogTest,class,3,2,2,16,1,0.0,0.0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,12,0,1,12,1,0,0,0,0,41,1025,20
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/servlet/BasicServletTestCase.java,org.apache.commons.logging.servlet.BasicServletTestCase,class,6,2,2,7,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,6,0,5,0,5,0,0,0,0,33,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/BadHashtablePropertyTestCase.java,org.apache.commons.logging.BadHashtablePropertyTestCase,class,3,2,2,2,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/noop/NoOpLogTestCase.java,org.apache.commons.logging.noop.NoOpLogTestCase,class,5,5,3,22,10,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,36,1,0,0,0,0,6,0,6,0,5,0,0,0,0,60,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/AltHashtableTestCase.java,org.apache.commons.logging.AltHashtableTestCase,class,7,4,2,13,6,0.0,0.0,4,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,26,1,0,0,0,0,4,0,7,0,5,0,0,0,0,115,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/LogTestCase.java,org.apache.commons.logging.LogTestCase,class,3,1,3,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/logkit/StandardTestCase.java,org.apache.commons.logging.logkit.StandardTestCase,class,8,8,3,27,12,0.2857143,0.35714287,8,1,7,0,1,0,8,0,0,0,2,0,0,0,2,0,0,0,5,60,2,0,0,0,0,15,1,15,0,10,0,0,0,0,75,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/UserClass.java,org.apache.commons.logging.UserClass,class,3,2,1,3,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,49,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/config/PriorityConfigTestCase.java,org.apache.commons.logging.config.PriorityConfigTestCase,class,6,4,2,13,6,0.0,0.0,4,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,38,1,0,0,0,0,14,0,13,1,13,0,0,0,0,102,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/config/FirstPriorityConfigTestCase.java,org.apache.commons.logging.config.FirstPriorityConfigTestCase,class,6,4,2,19,6,0.0,0.0,4,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,39,1,0,0,0,0,12,0,14,1,14,0,0,0,0,87,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/security/DummyClass.java,org.apache.commons.logging.security.DummyClass,class,3,1,1,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,1,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/security/SecurityAllowedTestCase.java,org.apache.commons.logging.security.SecurityAllowedTestCase$CustomHashtable,innerclass,0,0,3,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/security/SecurityAllowedTestCase.java,org.apache.commons.logging.security.SecurityAllowedTestCase,class,7,5,4,25,0,0.5,0.5,4,1,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,6,47,1,0,0,1,0,11,0,12,1,12,1,0,1,0,112,1,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,class,8,9,4,28,3,0.6,0.6,6,1,5,1,0,0,5,0,0,0,2,0,0,2,0,0,0,0,10,82,3,0,0,3,0,18,2,21,3,21,1,0,1,0,152,1,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase$CustomHashtable,innerclass,0,0,3,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/security/MockSecurityManager.java,org.apache.commons.logging.security.MockSecurityManager,class,0,21,2,13,0,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,2,0,0,63,6,1,0,0,0,32,2,8,6,8,3,0,0,0,95,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/pathable/GeneralTestCase.java,org.apache.commons.logging.pathable.GeneralTestCase,class,5,7,2,18,21,0.0,0.0,7,3,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,36,1,0,0,0,0,9,1,8,0,7,0,0,0,0,97,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/pathable/ParentFirstTestCase.java,org.apache.commons.logging.pathable.ParentFirstTestCase,class,5,13,2,37,21,0.0,0.0,7,2,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,121,3,2,1,1,0,54,14,50,0,37,1,0,0,0,134,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/pathable/ChildFirstTestCase.java,org.apache.commons.logging.pathable.ChildFirstTestCase,class,5,13,2,38,21,0.0,0.0,7,2,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,124,3,2,1,1,0,54,14,50,0,37,1,0,0,0,135,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/simple/CustomConfigTestCase.java,org.apache.commons.logging.simple.CustomConfigTestCase,class,11,15,3,53,71,0.10989011,0.10989011,14,1,7,0,7,0,14,0,0,0,2,0,0,0,2,0,0,0,3,108,1,1,0,0,9,46,1,12,3,11,1,0,0,0,143,1,10
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/simple/LogRecord.java,org.apache.commons.logging.simple.LogRecord,class,0,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,1,3,1,0,0,1,0,0,11,0,0,0,0,0,0,1,4,0,4,0,0,0,0,17,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/simple/DateTimeCustomConfigTestCase.java,org.apache.commons.logging.simple.DateTimeCustomConfigTestCase,class,6,5,4,14,10,0.0,0.0,5,1,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2,29,1,0,0,0,3,11,0,6,0,6,0,0,0,0,114,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/simple/DefaultConfigTestCase.java,org.apache.commons.logging.simple.DefaultConfigTestCase,class,9,13,2,37,42,0.23076923,0.35897437,13,1,8,0,5,0,13,0,0,0,2,0,0,0,2,0,0,0,5,87,1,0,0,0,6,20,1,16,0,10,0,0,0,0,132,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/simple/DecoratedSimpleLog.java,org.apache.commons.logging.simple.DecoratedSimpleLog,class,2,9,2,3,30,0.083333336,0.083333336,9,0,8,0,1,0,9,0,0,0,2,1,0,1,1,0,1,0,0,32,6,0,0,0,0,0,1,2,0,2,0,0,0,0,43,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigFullTestCase.java,org.apache.commons.logging.jdk14.CustomConfigFullTestCase,class,5,2,4,7,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0,0,3,0,4,0,4,0,0,0,0,31,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,class,10,26,3,74,117,0.07189543,0.13725491,18,3,9,0,9,0,18,0,0,0,7,1,0,0,7,0,1,0,5,180,3,3,1,2,0,49,16,38,4,26,2,0,0,0,176,1,10
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/jdk14/TestHandler.java,org.apache.commons.logging.jdk14.TestHandler,class,0,4,2,3,0,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,14,1,0,0,0,0,0,0,1,0,1,0,0,0,0,19,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/jdk14/DefaultConfigTestCase.java,org.apache.commons.logging.jdk14.DefaultConfigTestCase,class,7,10,2,27,15,0.2,0.33333334,10,1,7,0,3,0,10,0,0,0,2,0,0,0,2,0,0,0,3,61,1,0,0,0,0,12,1,14,0,9,0,0,0,0,82,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigAPITestCase.java,org.apache.commons.logging.jdk14.CustomConfigAPITestCase,class,5,2,4,7,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,0,0,4,0,4,0,4,0,0,0,0,36,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-logging/src/test/java/org/apache/commons/logging/BasicOperationsTestCase.java,org.apache.commons.logging.BasicOperationsTestCase,class,4,12,2,26,36,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,68,0,0,0,3,0,15,0,6,3,6,1,0,0,0,52,1,10
