file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/primes/PrimesTest.java,org.apache.commons.math3.primes.PrimesTest,class,5,27,1,17,14,0.027777778,0.027777778,8,3,3,0,0,5,9,0,0,0,4,4,3,0,0,1,4,0,21,106,2,13,2,2,0,3,172,14,8,12,2,0,0,0,45,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/TestUtils.java,org.apache.commons.math3.TestUtils,class,16,71,1,43,378,0.0,0.0,28,27,27,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,26,271,8,14,7,1,2,51,38,50,21,41,3,0,0,0,258,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/HarmonicCurveFitterTest.java,org.apache.commons.math3.fitting.HarmonicCurveFitterTest,class,12,16,1,13,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,106,0,9,0,0,0,0,109,64,9,53,1,0,0,0,50,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/PolynomialCurveFitterTest.java,org.apache.commons.math3.fitting.PolynomialCurveFitterTest,class,11,23,1,17,21,0.0,0.0,7,0,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,99,1,13,1,1,6,1,68,54,16,46,2,0,0,0,53,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/PolynomialFitterTest.java,org.apache.commons.math3.fitting.PolynomialFitterTest,class,16,30,1,16,66,0.0,0.0,12,0,9,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,166,2,15,1,1,6,2,150,75,20,67,2,0,0,0,117,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/EvaluationRmsCheckerTest.java,org.apache.commons.math3.fitting.leastsquares.EvaluationRmsCheckerTest$Anonymous1,anonymous,2,7,1,0,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,1,0,0,0,0,0,0,0,19,-1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/EvaluationRmsCheckerTest.java,org.apache.commons.math3.fitting.leastsquares.EvaluationRmsCheckerTest,class,6,2,1,3,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,37,1,0,0,0,0,0,12,3,0,3,0,1,0,0,17,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/StatisticalReferenceDataset.java,org.apache.commons.math3.fitting.leastsquares.StatisticalReferenceDataset,class,5,33,1,13,95,0.21323529,1.0,18,1,17,1,0,0,17,2,0,0,11,0,0,11,0,0,10,0,16,163,16,6,6,0,0,21,27,41,16,29,2,0,1,0,166,1025,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/StatisticalReferenceDataset.java,org.apache.commons.math3.fitting.leastsquares.StatisticalReferenceDataset$LeastSquaresProblem$Anonymous2,anonymous,2,2,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,1,4,0,3,1,0,0,0,14,-1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/StatisticalReferenceDataset.java,org.apache.commons.math3.fitting.leastsquares.StatisticalReferenceDataset$LeastSquaresProblem$Anonymous1,anonymous,2,2,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,1,4,0,3,1,0,0,0,11,-1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/StatisticalReferenceDataset.java,org.apache.commons.math3.fitting.leastsquares.StatisticalReferenceDataset$LeastSquaresProblem,innerclass,3,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/MinpackTest.java,org.apache.commons.math3.fitting.leastsquares.MinpackTest$MeyerFunction,innerclass,3,6,2,3,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,2,34,2,2,0,0,3,0,34,17,15,15,1,0,0,0,26,10,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/MinpackTest.java,org.apache.commons.math3.fitting.leastsquares.MinpackTest$LinearFullRankFunction,innerclass,2,8,2,2,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,29,2,4,1,0,2,0,10,13,6,9,2,0,0,0,20,10,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/MinpackTest.java,org.apache.commons.math3.fitting.leastsquares.MinpackTest$Osborne1Function,innerclass,3,5,2,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,4,35,2,2,0,0,1,0,48,22,13,20,1,0,0,0,23,10,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/MinpackTest.java,org.apache.commons.math3.fitting.leastsquares.MinpackTest$LinearRank1Function,innerclass,2,7,2,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,26,2,4,0,0,4,0,10,11,8,7,2,0,0,0,18,10,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/test/java/org/apache/commons/math3/fitting/leastsquares/MinpackTest.java,org.apache.commons.math3.fitting.leastsquares.MinpackTest$ChebyquadFunction,innerclass,3,12,2,1,6,0.0,0.0,4,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,61,3,7,0,0,4,0,24,38,24,24,2,0,0,0,30,10,0
