file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$TwoComplexNumbers,innerclass,5,2,3,2,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,3,0,2,0,0,0,0,24,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumbers,innerclass,9,8,2,15,1,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,2,0,0,1,1,0,0,0,12,33,2,0,0,0,0,11,1,7,2,4,1,0,0,5,36,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,class,17,62,6,26,1485,0.0,0.0,55,10,45,10,0,0,45,0,0,0,2,2,0,2,0,0,2,0,46,266,55,7,0,0,4,3,25,28,8,23,1,0,5,2,212,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexAndRealNumbers,innerclass,5,2,3,5,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,11,1,0,0,0,0,0,0,3,0,2,0,0,0,0,27,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumberSize,innerclass,2,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,10,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexRealFunction,interface,1,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/SinCosPerformance.java,org.apache.commons.numbers.examples.jmh.complex.SinCosPerformance$Numbers,innerclass,8,10,2,16,4,1.0,1.0,4,1,2,2,0,0,2,0,0,0,2,0,0,1,1,0,0,0,8,40,2,1,0,0,0,13,4,7,9,5,1,0,0,6,52,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/SinCosPerformance.java,org.apache.commons.numbers.examples.jmh.complex.SinCosPerformance$NumberSize,innerclass,2,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,9,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/SinCosPerformance.java,org.apache.commons.numbers.examples.jmh.complex.SinCosPerformance,class,11,12,2,7,45,0.0,0.0,10,4,6,4,0,0,6,0,0,0,1,1,0,1,0,0,1,0,7,91,10,2,0,0,3,3,18,11,6,9,1,0,2,0,131,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-arrays/src/test/java/org/apache/commons/numbers/arrays/SafeNormTest.java,org.apache.commons.numbers.arrays.SafeNormTest,class,4,8,1,4,21,0.0,0.0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,38,1,1,0,0,0,0,45,12,3,11,1,0,0,0,24,1,0
