file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$TwoComplexNumbers,getNumbers2/0,numbers2,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$TwoComplexNumbers,setup/0,numbers2,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumbers,createNumbers/1[org.apache.commons.numbers.examples.jmh.complex.UniformRandomProvider],type,6
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumbers,setup/0,numbers,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumbers,getNumbers/0,numbers,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,createEdgeNumber/1[org.apache.commons.numbers.examples.jmh.complex.UniformRandomProvider],EDGE_NUMBERS,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,createUniformNumber/1[org.apache.commons.numbers.examples.jmh.complex.UniformRandomProvider],RANGE,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexAndRealNumbers,getNumbers2/0,numbers2,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexAndRealNumbers,setup/0,numbers2,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumberSize,getSize/0,size,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/SinCosPerformance.java,org.apache.commons.numbers.examples.jmh.complex.SinCosPerformance$Numbers,setup/0,numbers,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/SinCosPerformance.java,org.apache.commons.numbers.examples.jmh.complex.SinCosPerformance$Numbers,getNumbers/0,numbers,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/SinCosPerformance.java,org.apache.commons.numbers.examples.jmh.complex.SinCosPerformance$Numbers,createNumbers/1[java.util.SplittableRandom],type,5
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/SinCosPerformance.java,org.apache.commons.numbers.examples.jmh.complex.SinCosPerformance$NumberSize,getSize/0,size,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/SinCosPerformance.java,org.apache.commons.numbers.examples.jmh.complex.SinCosPerformance,createEdgeNumber/1[java.util.SplittableRandom],EDGE_NUMBERS,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-arrays/src/main/java/org/apache/commons/numbers/arrays/MultidimensionalCounter.java,org.apache.commons.numbers.arrays.MultidimensionalCounter,toMulti/1[int],totalSize,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-arrays/src/main/java/org/apache/commons/numbers/arrays/MultidimensionalCounter.java,org.apache.commons.numbers.arrays.MultidimensionalCounter,toMulti/1[int],last,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-arrays/src/main/java/org/apache/commons/numbers/arrays/MultidimensionalCounter.java,org.apache.commons.numbers.arrays.MultidimensionalCounter,toMulti/1[int],uniCounterOffset,2
