file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$TwoComplexNumbers,getNumbers2/0,false,162,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$TwoComplexNumbers,setup/0,false,171,3,1,2,5,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,1,0,true
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumbers,createNumbers/1[org.apache.commons.numbers.examples.jmh.complex.UniformRandomProvider],false,124,5,6,13,23,1,2,1,13,0,0,0,0,0,0,6,1,6,2,1,0,0,5,26,0,0,true
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumbers,setup/0,false,114,2,1,2,3,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,true
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumbers,getNumbers/0,false,106,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,tan/1[org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance.ComplexNumbers],false,580,4,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,log10/1[org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance.ComplexNumbers],false,560,4,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,"apply/3[org.apache.commons.numbers.complex.Complex[],org.apache.commons.numbers.complex.Complex[],java.util.function.BiFunction<org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex>]",false,324,1,2,1,7,1,2,3,1,0,0,1,0,0,0,0,1,3,0,1,0,0,0,14,10,0,true
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,asinh/1[org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance.ComplexNumbers],false,605,4,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,real2/1[org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance.ComplexNumbers],false,386,3,2,2,8,1,3,1,2,0,0,1,0,0,0,0,1,4,0,1,0,0,0,27,1,0,true
