file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$TwoComplexNumbers,setup/0,rng,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumbers,createNumbers/1[org.apache.commons.numbers.examples.jmh.complex.UniformRandomProvider],s,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumbers,createNumbers/1[org.apache.commons.numbers.examples.jmh.complex.UniformRandomProvider],generator,6
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance$ComplexNumbers,createNumbers/1[org.apache.commons.numbers.examples.jmh.complex.UniformRandomProvider],rng,8
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,tan/1[org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance.ComplexNumbers],numbers,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,log10/1[org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance.ComplexNumbers],numbers,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,"apply/3[org.apache.commons.numbers.complex.Complex[],org.apache.commons.numbers.complex.Complex[],java.util.function.BiFunction<org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex>]",result,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,"apply/3[org.apache.commons.numbers.complex.Complex[],org.apache.commons.numbers.complex.Complex[],java.util.function.BiFunction<org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex>]",numbers2,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,"apply/3[org.apache.commons.numbers.complex.Complex[],org.apache.commons.numbers.complex.Complex[],java.util.function.BiFunction<org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex>]",numbers,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,"apply/3[org.apache.commons.numbers.complex.Complex[],org.apache.commons.numbers.complex.Complex[],java.util.function.BiFunction<org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex>]",i,5
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,"apply/3[org.apache.commons.numbers.complex.Complex[],org.apache.commons.numbers.complex.Complex[],java.util.function.BiFunction<org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex,org.apache.commons.numbers.complex.Complex>]",fun,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-numbers/commons-numbers-examples/examples-jmh/src/main/java/org/apache/commons/numbers/examples/jmh/complex/ComplexPerformance.java,org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance,asinh/1[org.apache.commons.numbers.examples.jmh.complex.ComplexPerformance.ComplexNumbers],numbers,1
