file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/NextBytesGenerationPerformance.java,org.apache.commons.rng.examples.jmh.core.NextBytesGenerationPerformance,class,6,3,3,2,1,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,17,2,0,0,0,0,0,0,1,0,1,0,0,1,0,51,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/NextBytesGenerationPerformance.java,org.apache.commons.rng.examples.jmh.core.NextBytesGenerationPerformance$Sources,innerclass,4,1,2,1,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/AbstractBenchmark.java,org.apache.commons.rng.examples.jmh.core.AbstractBenchmark,class,6,1,1,0,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,5,0,0,0,0,0,0,0,48,1025,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$IntData,innerclass,5,2,1,1,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,10,1,0,0,0,0,5,0,1,0,2,0,0,0,0,13,9,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$Lemire31,innerclass,2,4,4,2,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,0,0,1,1,0,0,19,1,1,0,0,4,0,7,6,6,4,2,0,0,0,34,8,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$SplitMix32,innerclass,1,4,3,0,1,0.33333334,0.33333334,3,0,1,0,0,2,3,0,0,0,2,1,0,1,1,0,1,0,0,17,1,0,0,0,6,1,7,5,6,3,1,0,0,0,55,1032,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$JDK,innerclass,1,3,4,2,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,0,0,3,2,5,2,1,0,0,0,22,8,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$Lemire,innerclass,1,4,4,2,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,0,0,1,1,0,0,19,1,1,0,0,3,0,7,6,5,4,2,0,0,0,34,8,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$JDKPow2,innerclass,1,5,4,2,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,1,1,0,1,0,4,3,5,3,1,0,0,0,24,8,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$Lemire31Pow2,innerclass,2,6,4,3,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,0,0,1,1,0,0,23,2,1,1,0,5,0,9,7,7,5,2,0,0,0,38,8,0
