file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/NextBytesGenerationPerformance.java,org.apache.commons.rng.examples.jmh.core.NextBytesGenerationPerformance,baselineBytes/0,value,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/NextBytesGenerationPerformance.java,org.apache.commons.rng.examples.jmh.core.NextBytesGenerationPerformance,nextBytes/1[org.apache.commons.rng.examples.jmh.core.NextBytesGenerationPerformance.Sources],value,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$IntData,setup/0,data,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$IntData,setup/0,size,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$IntData,getData/0,data,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$SplitMix32,SplitMix32/1[long],state,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$SplitMix32,next/0,state,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$SplitMix32,next/0,GOLDEN_RATIO,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$Lemire,nextInt/1[int],POW_32,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$Source,setup/0,name,6
