file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/NextBytesGenerationPerformance.java,org.apache.commons.rng.examples.jmh.core.NextBytesGenerationPerformance,nextBytes/1[org.apache.commons.rng.examples.jmh.core.NextBytesGenerationPerformance.Sources],sources,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$Lemire31,nextInt/1[int],t,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$Lemire31,nextInt/1[int],l,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$Lemire31,nextInt/1[int],m,4
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$Lemire31,nextInt/1[int],n,6
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$Lemire31,Lemire31/1[long],seed,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$SplitMix32,SplitMix32/1[long],seed,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$SplitMix32,next/0,key,5
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$SplitMix32,checkStrictlyPositive/1[int],n,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-rng/commons-rng-examples/examples-jmh/src/main/java/org/apache/commons/rng/examples/jmh/core/RngNextIntInRangeBenchmark.java,org.apache.commons.rng.examples.jmh.core.RngNextIntInRangeBenchmark$JDK,nextInt/1[int],val,3
