file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/BetaDistributionTest.java,org.apache.commons.statistics.distribution.BetaDistributionTest,testGoodnessOfFit/0,ALPHA_BETAS,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/BetaDistributionTest.java,org.apache.commons.statistics.distribution.BetaDistributionTest,testMomentsSampling/0,ALPHA_BETAS,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/BetaDistributionTest.java,org.apache.commons.statistics.distribution.BetaDistributionTest,testMomentsSampling/0,EPSILON,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/AbstractDiscreteDistributionTest.java,org.apache.commons.statistics.distribution.AbstractDiscreteDistributionTest$DiceDistribution,cumulativeProbability/1[int],p,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/AbstractDiscreteDistributionTest.java,org.apache.commons.statistics.distribution.AbstractDiscreteDistributionTest$DiceDistribution,probability/1[int],p,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/AbstractDiscreteDistributionTest.java,org.apache.commons.statistics.distribution.AbstractDiscreteDistributionTest,testCumulativeProbabilitiesSingleArguments/0,p,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/AbstractDiscreteDistributionTest.java,org.apache.commons.statistics.distribution.AbstractDiscreteDistributionTest,testCumulativeProbabilitiesSingleArguments/0,diceDistribution,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/AbstractDiscreteDistributionTest.java,org.apache.commons.statistics.distribution.AbstractDiscreteDistributionTest,testProbabilitiesRangeArguments/0,p,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/AbstractDiscreteDistributionTest.java,org.apache.commons.statistics.distribution.AbstractDiscreteDistributionTest,testProbabilitiesRangeArguments/0,diceDistribution,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/AbstractDiscreteDistributionTest.java,org.apache.commons.statistics.distribution.AbstractDiscreteDistributionTest,testInverseCumulativeProbabilityMethod/0,diceDistribution,13
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/GammaDistributionTest.java,org.apache.commons.statistics.distribution.GammaDistributionTest,logGamma/1[double],HALF_LOG_2_PI,1
