file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testInverseCumulativeProbabilityExtremes/0,false,100,3,1,3,5,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,makeDensityTestValues/0,false,61,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,1,0,true
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testCumulativeProbabilityAgainstStackOverflow/0,false,73,2,1,2,8,0,1,0,2,0,0,0,0,0,0,0,3,1,0,1,0,0,1,17,0,0,true
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testMoments/0,false,130,2,1,5,13,0,2,0,5,0,0,0,0,0,1,0,9,4,2,0,0,0,0,9,0,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testSmallDf/0,false,82,4,1,8,9,0,0,0,8,0,0,0,0,0,0,0,21,0,0,0,0,0,0,17,0,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,"makeNistResults/2[double[],int]",false,200,2,2,1,8,1,3,2,1,0,0,1,0,0,0,0,2,4,1,1,0,0,0,9,2,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,makeCumulativeTestValues/0,false,54,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12,1,0,true
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testConstructorPrecondition1/0,false,125,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testStatistics25/0,false,169,3,2,2,11,0,7,0,2,0,0,1,0,0,0,0,35,7,0,1,0,0,0,12,0,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,makeDistribution/0,false,40,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,true
