file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testCumulativeProbabilityAgainstStackOverflow/0,td,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testMoments/0,tol,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testMoments/0,dist,9
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,"makeNistResults/2[double[],int]",args,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,"makeNistResults/2[double[],int]",td,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,"makeNistResults/2[double[],int]",res,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,"makeNistResults/2[double[],int]",df,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,"makeNistResults/2[double[],int]",i,4
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testStatistics25/0,tol,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testStatistics25/0,df,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testStatistics25/0,c,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testStatistics25/0,expected,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testStatistics25/0,x,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testStatistics25/0,i,4
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,testStatistics25/0,dist,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,nistData/0,prob,4
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,nistData/0,args10,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,nistData/0,args100,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,nistData/0,args30,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-statistics/commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java,org.apache.commons.statistics.distribution.TDistributionTest,nistData/0,args2,1
