file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$MockReadable,innerclass,0,2,1,2,0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,10,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$Anonymous1,anonymous,1,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,class,11,140,1,188,6696,0.0067466265,0.0067466265,117,0,116,1,0,0,116,0,0,0,1,1,0,0,0,1,1,0,24,1662,2,4,2,6,1,767,846,307,18,220,2,1,1,52,214,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/StrLookupTest.java,org.apache.commons.text.StrLookupTest,class,3,8,1,19,28,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,32,71,0,0,0,2,0,32,1,13,2,13,1,0,0,1,57,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/StrMatcherTest.java,org.apache.commons.text.StrMatcherTest,class,4,14,1,20,0,0.50549453,0.50549453,14,0,14,0,0,0,14,0,0,0,2,2,0,2,0,0,2,0,37,138,0,0,0,0,0,10,155,16,0,16,0,0,0,0,37,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/WordUtilsTest.java,org.apache.commons.text.WordUtilsTest,class,3,32,1,30,496,0.0,0.0,32,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,253,380,0,0,0,0,1,506,99,53,7,15,1,0,0,2,124,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/RandomStringGeneratorTest.java,org.apache.commons.text.RandomStringGeneratorTest,class,8,40,1,34,204,0.015789473,0.015789473,21,1,20,1,0,0,20,0,0,0,2,2,0,2,0,0,2,0,13,194,2,11,9,0,0,5,44,65,3,60,2,0,0,10,101,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/translate/OctalUnescaperTest.java,org.apache.commons.text.translate.OctalUnescaperTest,class,3,1,1,4,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,40,0,25,4,3,0,0,0,0,25,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/translate/LookupTranslatorTest.java,org.apache.commons.text.translate.LookupTranslatorTest,class,2,3,1,8,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,12,4,8,0,8,0,0,0,1,31,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/translate/UnicodeEscaperTest.java,org.apache.commons.text.translate.UnicodeEscaperTest,class,3,3,1,7,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,9,0,9,0,9,0,0,0,0,22,1,0
