file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$MockReadable,read/1[java.nio.CharBuffer],false,62,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$MockReadable,MockReadable/1[java.lang.String],true,57,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$Anonymous1,append/1[java.lang.CharSequence],false,215,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$Anonymous1,"append/3[java.lang.CharSequence,int,int]",false,220,1,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$Anonymous1,append/1[char],false,210,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testWrap_CharArray_Int_Empty_0/0,false,2264,2,1,5,8,0,1,0,5,0,0,0,0,0,0,0,5,1,0,0,0,0,0,14,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testIndexOf_StringMatcher_int/0,false,1187,4,1,6,33,0,1,0,6,0,0,0,0,0,0,2,56,1,0,0,0,0,0,15,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testLang412Right/0,false,1280,2,1,3,5,0,1,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,15,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testRightString/0,false,2015,2,1,2,7,0,1,0,2,0,0,0,0,0,0,5,4,1,0,0,0,0,0,8,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testAppendToStringBuffer/0,false,242,2,1,3,6,0,2,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,12,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testAppendToStringBuilder/0,false,252,2,1,3,6,0,2,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,11,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testReadFromReaderEmpty/0,false,1547,2,1,3,6,0,2,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,13,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testReplace_StringMatcher_String_int_int_int_VaryCount/0,false,1659,3,1,4,23,0,1,0,4,0,0,0,0,0,0,28,21,7,0,0,0,0,0,15,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testDeleteFirst_char/0,false,721,2,1,3,14,0,1,0,3,0,0,0,0,0,0,7,0,2,0,0,0,0,0,10,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testIndexOf_StringMatcher/0,false,1169,4,1,6,14,0,1,0,6,0,0,0,0,0,0,2,9,1,0,0,0,0,0,23,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testReplaceFirst_String_String/0,false,1941,2,1,3,25,0,1,0,3,0,0,0,0,0,0,28,0,3,0,0,0,0,0,10,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testAppendToAppendable/0,false,201,2,1,4,18,0,2,0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,21,1,0,false
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testReadFromReaderIntEmpty/0,false,1624,2,1,3,6,0,2,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,14,1,0,false
