file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$MockReadable,read/1[java.nio.CharBuffer],cb,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$MockReadable,MockReadable/1[java.lang.String],src,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$Anonymous1,append/1[java.lang.CharSequence],csq,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$Anonymous1,"append/3[java.lang.CharSequence,int,int]",csq,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$Anonymous1,"append/3[java.lang.CharSequence,int,int]",start,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$Anonymous1,"append/3[java.lang.CharSequence,int,int]",end,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest$Anonymous1,append/1[char],c,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testWrap_CharArray_Int_Empty_0/0,initEmpty,5
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testIndexOf_StringMatcher_int/0,sb,30
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderTest.java,org.apache.commons.text.TextStringBuilderTest,testLang412Right/0,sb,2
