file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,class,3,221,2,25,64,0.0,0.0,16,0,3,13,0,0,3,0,0,0,16,13,0,16,0,0,13,0,0,968,57,65,9,0,38,333,438,192,69,64,9,0,0,0,109,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/romanianStemmer.java,org.tartarus.snowball.ext.romanianStemmer,class,3,142,2,23,69,0.0,0.0,15,0,3,12,0,0,3,0,0,0,13,9,0,13,0,0,9,0,0,589,35,44,6,0,26,475,553,99,20,42,8,0,0,0,110,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/finnishStemmer.java,org.tartarus.snowball.ext.finnishStemmer,class,3,142,2,23,31,0.0,0.0,15,0,3,12,0,0,3,0,0,0,20,16,0,20,0,0,16,0,0,674,64,32,10,0,34,196,338,173,62,66,5,0,0,0,102,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/turkishStemmer.java,org.tartarus.snowball.ext.turkishStemmer,class,3,481,2,52,890,0.0,0.0,44,0,3,41,0,0,3,0,0,0,36,34,0,36,0,0,34,0,0,2159,135,183,26,0,57,276,507,423,278,154,8,0,0,0,209,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/spanishStemmer.java,org.tartarus.snowball.ext.spanishStemmer,class,3,164,2,20,63,0.0,0.0,14,0,3,11,0,0,3,0,0,0,16,13,0,16,0,0,13,0,0,691,43,39,10,0,25,426,519,136,44,47,8,0,0,0,105,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/swedishStemmer.java,org.tartarus.snowball.ext.swedishStemmer,class,3,43,2,13,8,0.0,0.0,8,0,3,5,0,0,3,0,0,0,9,7,0,9,0,0,7,0,0,217,20,9,3,0,4,100,142,64,15,25,3,0,0,0,73,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/danishStemmer.java,org.tartarus.snowball.ext.danishStemmer,class,3,53,2,18,6,0.0,0.0,9,0,3,6,0,0,3,0,0,0,10,7,0,10,0,0,7,0,0,273,24,12,3,0,8,85,143,83,23,31,3,0,0,0,79,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/italianStemmer.java,org.tartarus.snowball.ext.italianStemmer,class,3,166,2,22,69,0.0,0.0,14,0,3,11,0,0,3,0,0,0,16,13,0,16,0,0,13,0,0,702,34,46,8,0,29,416,526,135,37,47,8,0,0,0,108,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/englishStemmer.java,org.tartarus.snowball.ext.englishStemmer,class,3,208,2,29,121,0.0,0.0,19,0,3,16,0,0,3,0,0,0,19,16,0,19,0,0,16,0,0,862,64,55,12,0,27,270,351,146,41,63,6,0,0,0,113,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/porterStemmer.java,org.tartarus.snowball.ext.porterStemmer,class,3,143,2,24,79,0.0,0.0,15,0,3,12,0,0,3,0,0,0,13,10,0,13,0,0,10,0,0,600,48,39,7,0,23,167,217,105,30,43,6,0,0,0,119,1,0
