file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_RV/0,I_pV,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_mark_regions/0,a_0,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_mark_regions/0,I_p1,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_mark_regions/0,I_p2,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_mark_regions/0,I_pV,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_mark_regions/0,g_v,7
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_un_double/0,a_8,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_R1/0,I_p1,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_residual_suffix/0,a_7,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_residual_suffix/0,g_keep_with_s,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_residual_suffix/0,I_pV,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_prelude/0,g_v,4
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_verb_suffix/0,a_6,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_verb_suffix/0,I_pV,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_un_accent/0,g_v,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_standard_suffix/0,a_3,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_standard_suffix/0,a_2,1
