file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_mark_regions/0,v_2,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_mark_regions/0,v_1,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_mark_regions/0,v_4,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_un_double/0,v_1,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_residual_suffix/0,v_2,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_residual_suffix/0,v_1,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_residual_suffix/0,v_4,7
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_residual_suffix/0,among_var,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_residual_suffix/0,v_3,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_residual_suffix/0,v_5,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_prelude/0,v_2,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_prelude/0,v_1,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_prelude/0,v_4,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_prelude/0,v_3,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_verb_suffix/0,v_2,5
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_verb_suffix/0,v_1,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_verb_suffix/0,among_var,3
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_verb_suffix/0,v_3,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/snowball-stemmer/src/java/org/tartarus/snowball/ext/frenchStemmer.java,org.tartarus.snowball.ext.frenchStemmer,r_un_accent/0,v_1,2
