project,class
Text,org.apache.commons.text.diff.StringsComparator
Math,org.apache.commons.math3.ode.nonstiff.RungeKuttaIntegrator
Lang,org.apache.commons.lang3.Conversion
Lang,org.apache.commons.lang3.time.DurationFormatUtils
Math,org.apache.commons.math3.dfp.Dfp
Math,org.apache.commons.math3.dfp.DfpMath
Lang,org.apache.commons.lang3.JavaVersion
Lang,org.apache.commons.lang3.math.Fraction
Text,org.apache.commons.text.WordUtils
RNG,org.apache.commons.rng.examples.sampling.ProbabilityDensityApproximationCommand
Lang,org.apache.commons.lang3.time.FastDateParser
Math,org.apache.commons.math3.ode.nonstiff.RungeKuttaFieldIntegrator
Math,org.apache.commons.math3.dfp.DfpDec
Numbers,org.apache.commons.numbers.complex.Complex
Lang,org.apache.commons.lang3.text.WordUtils
Text,org.apache.commons.text.AlphabetConverter
Lang,org.apache.commons.lang3.math.NumberUtils
Lang,org.apache.commons.lang3.StringUtils
Lang,org.apache.commons.lang3.BooleanUtils
Text,org.apache.commons.text.ExtendedMessageFormat
Lang,org.apache.commons.lang3.text.ExtendedMessageFormat
RNG,org.apache.commons.rng.examples.stress.ResultsCommand
Math,org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeFieldIntegrator
Math,org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator
Lang,org.apache.commons.lang3.time.FastDateParser$NumberStrategy
Lang,org.apache.commons.lang3.builder.DiffBuilder
Math,org.apache.commons.math3.util.FastMathCalc
Math,org.apache.commons.math3.linear.MatrixUtils
Lang,org.apache.commons.lang3.ArrayUtils
Math,org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaFieldIntegrator
Numbers,org.apache.commons.numbers.fraction.BigFraction
Lang,org.apache.commons.lang3.ClassUtils
Lang,org.apache.commons.lang3.time.FastDatePrinter
CLI,org.apache.commons.cli.HelpFormatter
Geometry,org.apache.commons.geometry.examples.jmh.euclidean.VectorPerformance$VectorInputBase
Math,org.apache.commons.math3.util.CompositeFormat
Text,org.apache.commons.text.StrBuilder
Logging,org.apache.commons.logging.impl.SimpleLog
Lang,org.apache.commons.lang3.text.StrBuilder
Lang,org.apache.commons.lang3.time.DateUtils
Lang,org.apache.commons.lang3.exception.ExceptionUtils
Text,org.apache.commons.text.TextStringBuilder
RNG,org.apache.commons.rng.examples.stress.RNGUtils
Lang,org.apache.commons.lang3.RandomStringUtils
Math,org.apache.commons.math3.ode.AbstractIntegrator
Numbers,org.apache.commons.numbers.fraction.Fraction
Math,org.apache.commons.math3.ode.JacobianMatrices
Geometry,org.apache.commons.geometry.examples.io.threed.obj.OBJReader
Lang,org.apache.commons.lang3.text.StrMatcher$StringMatcher
Lang,org.apache.commons.lang3.time.FastDateParser$CopyQuotedStrategy
Numbers,org.apache.commons.numbers.arrays.MultidimensionalCounter
Text,org.apache.commons.text.lookup.DateStringLookup
Text,org.apache.commons.text.StrMatcher$StringMatcher
Math,org.apache.commons.math3.ode.AbstractFieldIntegrator
Math,org.apache.commons.math3.complex.ComplexFormat
Math,org.apache.commons.math3.dfp.DfpField
Geometry,org.apache.commons.geometry.core.partitioning.bsp.BSPTreePrinter
Lang,org.apache.commons.lang3.ObjectUtils
Math,org.apache.commons.math3.ode.ParameterJacobianWrapper
Geometry,org.apache.commons.geometry.core.internal.SimpleTupleFormat
Geometry,org.apache.commons.geometry.examples.tutorials.bsp.BSPTreeSVGWriter$TreeStructureVisitor
Math,org.apache.commons.math3.random.RandomDataGenerator
Text,org.apache.commons.text.StrMatcher
Text,org.apache.commons.text.StrSubstitutor
Lang,org.apache.commons.lang3.time.FormatCache
Lang,org.apache.commons.lang3.text.StrSubstitutor
Lang,org.apache.commons.lang3.EnumUtils
Lang,org.apache.commons.lang3.Validate
Lang,org.apache.commons.lang3.builder.ToStringStyle
Lang,org.apache.commons.lang3.ThreadUtils
Text,org.apache.commons.text.StringSubstitutor
Text,org.apache.commons.text.StringTokenizer
Text,org.apache.commons.text.StrTokenizer
Lang,org.apache.commons.lang3.text.StrMatcher
Lang,org.apache.commons.lang3.time.FastDateParser$ISO8601TimeZoneStrategy
Lang,org.apache.commons.lang3.text.StrTokenizer
Math,org.apache.commons.math3.geometry.VectorFormat
Lang,org.apache.commons.lang3.CharUtils
Geometry,org.apache.commons.geometry.spherical.twod.Point2S
Math,org.apache.commons.math3.stat.descriptive.rank.Percentile$EstimationType
RNG,org.apache.commons.rng.sampling.distribution.MarsagliaTsangWangDiscreteSampler$MarsagliaTsangWangBase64Int16DiscreteSampler
RNG,org.apache.commons.rng.sampling.distribution.MarsagliaTsangWangDiscreteSampler$MarsagliaTsangWangBase64Int32DiscreteSampler
